id,Reviews
13,包装保护：外包装保护的很好。箱子里面有泡沫保护。不容易受到磕碰。外包装边角有一点小小的碰撞，按这是快递中无法避免的。不影响里面。。外形外观：就是看中的这款的外观。是我喜欢的类型。A面是金属的。c面磨砂质感，我非常喜欢。是那种阳刚的造型。。画面品质：屏幕显示非常棒。我的这款几乎没有漏光的现象。运气非常好哈哈。非常不错哟。。跑分评测：下载了鲁大师。看了一下是**的内存。还是不错的。没有娱乐跑分，大概是35万左右吧。。运行速度：运行速度非常快，使用感受非常流畅。没有遇到卡顿的现象。也没有遇到什么bug。还是很满意的。。游戏效果：玩吃鸡全高画质。非常流畅。纵享丝滑，没有一丝的卡顿。但是技术不好，奈何落地成盒，有些大型游戏还没有下载。市面大多游戏都是能流畅运行的。
14,怎么打lol都卡  噪音是真的烦
15,买回来第一天听歌蓝屏一次，声音巨大，吓死人。第二天玩了把吃鸡，卡死了，屏幕无任何反应，重启电脑一直提示正在准备自动修复状态，无法开机。请问这对得起九代i7 1660ti吗？我只能给你差评了。目前还没联系上客服，没解决。
16,外形外观：外观好看，非常的帅 很喜欢。画面品质：电竞屏幕看的很舒服。跑分评测：35000跑分很不错。运行速度：16G运存速度很快。游戏效果：玩LOL，DNF  飞车  一点也不卡很流畅
17,**小新air13外观买的是蓝色的很漂亮，很纤薄，重量也比较轻，携带方便，拿在手里很有质感，好看。收到货后特地使用了几天才来评价，开机速度很快，通常在几秒就完成，运行起来也很流畅，屏幕的显示效果好，有正版office很方便使用，平常办公用很安静，续航能力也不错，总的来说各方面都比较满意，好评。
18,5000多买了个辣鸡！还是**品牌！ 打开文件卡闪退！玩个游戏闪退！机器爆烫！一推大问题！我怀疑绝对不是新机！想买的自己珍重，找客服不解决问题！找**客服直接不理！ **和**口碑越来越差不是没有原因的！**不解决问题还不想退货！
19,包装保护：挺稳的。外形外观：真心很酷炫了。画面品质：不错，高清暂时没漏光。跑分评测：没跑，小白一个懒得折腾。运行速度：挺快的。游戏效果：鼠标等装备还没到，预估流畅
20,只有裸机，什么都不选，连一个电脑包都没有
21,运行速度：可以叭。屏幕效果：赞(/≧▽≦/)。散热性能：一般啦。外形外观：好看(??&omega;??)??。轻薄程度：轻薄的。其他特色：蓝色很好看(??&omega;??)??
22,包装保护：盒子比较大，保护到位。外形外观：金属A面很有质感，整体做工优秀。画面品质：高色域屏幕体验提升非常明显。跑分评测：还不错哦。游戏效果：吃鸡不开全高100帧，很舒服。运行速度：非常快，玩游戏温度也不太高，值得购买
23,2019款y7000p可能出现黑屏，我和网上不少买家都遇见了一样情况，给**售后打电话，刚说问题，他们就说这需要硬件升级，并说这是2019款y7000p硬件设置问题，需要BIOS升级。这种出厂就带着问题可能黑屏的机子**在知情的情况下不做原厂升级靠买家自己联系售后？！而且硬件升级有风险可能无法开机，买家不都是工程师好嘛？！且不说黑屏给使用带来的风险和数据丢失的风险。9000块的电脑
24,客服态度是真的差，都挺高冷的不爱搭理人
25,屏幕分辨率高清，点赞?，大小适中，刚刚好，整个本本很轻薄，方便携带.湖蓝色，很精美.电池杠杠滴，一天办公下来还有20%的电量.?其它的等用用再追评吧！
26,电脑一般，觉得不值6000多这么高。配置实际运行也没有那么好。有卡顿。调砧现象。不满意。屏幕也不太清晰。模糊。整体感觉不怎么地。很失望
27,跑分评测：鲁大师跑分40多万。运行速度：一个字，快，很流畅，不管是办公，设计，还是游戏都很流畅。游戏效果：大型3D网络游戏毫无压力，剑网3最高画质很流畅。外形外观：外观低调，沉稳。包装保护：机器包装完好无损，包装崭新，电脑8月份生产的。画面品质：显示屏色彩很好，看着眼睛很舒服
28,说好的送券呢？？？？？。都过去这么多天了还不送
29,目前使用下来，基本看了视频和网页，写个word，以后估计会ps修修图&hellip;&hellip;。目前使用感很不错，屏幕清晰，电脑摸起来也很有质感，学生党13寸用起来也很方便，轻小精致，开机6秒，也没有经历过死机或者卡住。。也是看了很多5k价位左右的，选了这个，还是很不错的。。如遇到问题，我在追加评论。
30,跑分评测：分 250000，玩LOL和cf完全没问题。运行速度：收到电脑选择了cf，运行完全可以，包装完美。画面品质：高清画质，给你看电影的很好很好。包装保护：包装可以。外形外观：外观好漂亮，键盘发红光，可以调微亮和很亮，或者不亮，logo好漂亮。游戏效果：玩中小型游戏没问题，吃鸡最底画质也可以玩，这一点让我很满意
31,**618活动很给力，618当天下的单，本本是相当满意九代I7 8G内存 128G+1T 独立显卡 硬件杆杆的 跑分33万 显示精细，模具做工不错，磨砂面不留指纹，大爱，红色 LOGO 点缀，有商务风格，不会太炫酷， SSD 开机速度可以，运行速度也可以，主要玩游戏用，机底散热面挺大的，15.6寸，挺沉的 ，好评特别喜欢
32,售后服务极差，电池用了不到一个月就坏了
33,运行速度：搭配512g固态硬盘，开机关机快，运行程序流畅不卡顿。屏幕效果：屏幕色彩高清，亮度调节最高亮度够亮。轻薄程度：机身轻薄
34,618经过对比锁定****这款游戏本，活动价超值！**物流还是一如既往的给力，第二天就配送到了！配置相对比较强，选的高配，72色域显示，效果不错，开机迅速、运行速度快，做图、视频、游戏没有压力！目前使用一周，很满意！
35,开机速度非常快，配置超高，屏幕质量超好，游戏散热性能好，键盘温度舒适。玩吃鸡，LOL无压力，颜值爆表，A面辨识度高，有信仰灯。暂时还不太适应偏左的键盘，其他使用完美。
36,等了好几天，买的i7，到手i5，正在联系客服换???
37,我期待已久的 电脑总于到了 一打开这台电脑 就瞬间惊呆了 特别的帅 我选的是湖光蓝这种颜色 特别漂亮  客服也特别的好  **发货特别快 完昨晚下单的 今天中午就到了  期待这款air13 能带给我更好的惊喜 哈哈
38,******游匣G3pro英特尔酷睿i7 15.6英寸游戏笔记本电脑(九代i7-9750H 16G 1TSSD GTX1660TiMQ 72% 144Hz)  快递邮过来时包裹很严谨    键盘摁起来很舒服  不卡壳  声音很好听    屏幕很大    在特价时候买的 便宜了1000多  影响配置也非常好 总而言之非常优秀
39,包装保护：还可以，没有变形，**的的快递不错，凌晨买的，下午就到了。外形外观：梅赛德斯奔驰你值得拥有，信仰大Y，好看，颜值不差，重量也还行，中规中矩的游戏本。。跑分评测：还没测试，RTX2060，不会差到哪去，娱乐大师40万左右吧，仅供参考，不敢烤机，怂。运行速度：10几秒开机，已经可以了，拷贝文件安装都很快，游戏进入时间(读条)也有缩短，主流游戏都可以运行，哈哈开心。画面品质：回头进游戏测试游戏，1080p，100多帧没问题，老黄刀法是真的好(?&bull; . &bull;?)，高画质也可以开启。游戏效果：1080p，流畅运行没问题，高画质也可以开，我个人建议降低一些画质，就可以更流畅的运行
40,运行速度：快，系统完美。屏幕效果：清晰度高。散热性能：风扇声音很小。外形外观：美观，。轻薄程度：超薄超轻。其他特色：款式新颖别致，
41,外观上简单大方，手感也不错，开机很流畅，待机时间没什么问题，屏幕看着挺舒服的，13.3比预期的还要大一些，总体来说还是值得入手的。
42,笔记本电脑收到，外观很漂亮，很大气。运行速度很快，配置挺高的。玩游戏，制图用的。屏幕清晰度也相当好，高色域。**物流非常快。
43,电脑用了有一段时间了，不错，灯光非常炫酷，超级好用，用起来很舒服。哇，颜值也很高，要被圈粉了。键盘的背景灯超级帅气。一点都不卡，带psprsw毫无压力，妥妥的。包装的也很好，电脑完好无损，很棒。分辨率也超级好。键盘用起来很舒服，功能也很多，屏幕大，喜欢!男生女生都合适呢，推荐大家购买哦~
44,首先评论一下**，质量可靠，服务保障，速率超快。。运行速度：不错，相比同价位的，算是很快的了。。屏幕效果：**做手机出家，屏幕显示效果自然很不错，但相比某果，差了一些，不过支持国产。。散热性能：现在还不错，还不太了解用久了很怎样。。外形外观：很漂亮，非常棒，**出品，必是精品，喜欢雷布斯。喜欢**的各种产品。。轻薄程度：学生用，重量和轻薄度都可以，能够接受，毕竟是孩子入门笔记本。。其他特色：就是大爱雷布斯。喜欢**。但还需努力加油！
45,颜值还不错，用起来也不错，并不是很懂电脑，找客服，回答的很不耐烦的样子，本来觉得挺好的，瞬间无感，连带着电脑也不喜欢了，先用着吧。快递很不错，要表扬，态度好，也很客气，妈妈签收了，还特地打电话告知
46,一拿到手感觉特别漂亮  机身轻   配置上九代i7-9750H 8G双通道 128GSSD 1T GTX1650 4G 能流畅运行大部分主流游戏  相信****品质 散热方面风扇声音有点大 配了散热器很不错 爱不释手 快递也是快。
47,包装保护：完好无损，包装纸箱很结实。外形外观：高端大气上档次，红色背光健盘设计非常好看。画面品质：清晰度高。跑分评测：鲁大师36万分。运行速度：开机只需要几秒种。游戏效果：没有卡顿现象，玩起来超爽
48,**(******)小新Air 13，湖光蓝，很漂亮的颜色。给孩子新添置的大学用的笔记本电脑，开机速度相当快，充电速度也快。学生的优选！
49,外形外观：外观是真的很高级，铝制外壳，白色的Y型大LOGO，非常好看！。运行速度：运行速度我是i5?1660ti的，打lol完全不卡，音效也还不错。。画面品质：画面是真的很不错，但是有些软件似乎不太适配，字体有些模糊，但在自己的桌面上的字还是很清晰很nice的
50,非常不错的电脑，win10的正版的操作系统也非常的流畅，机器外观也非常符合我的要求，键盘也非常漂亮戴背光设计，还不累眼睛。配置也是非常高的，9代酷睿I7 9750 cpu，内存8G，大容量固态硬盘，我对显卡的评价很高，1660TI 6G显卡，15.6屏幕，色域也高，蓝色的流线型设计，值得推荐给大家，价格也美丽。在笔记本选择中性价比，价格都很不错?。
51,买**的就2个字，省心，现在家里手机，净水器都是**的，以后更新电视，也要换**的，这个本是买了办公用，好多年没用笔记本了，拿到这个本，感觉现在技术进步了很多，整体质感很好，手感很棒，试用了下，速度也很快
52,先说机身，很有金属质感，给人感觉很稳重，属于内种低调有实力的感觉，加上背后&ldquo;奔驰&rdquo;信仰加成，颜值很高。齐次是开机时间7秒，运行十分流畅，鲁大师跑分30万以上，十分流批。。。还有一个题外话，它竟然可以和MacBook一样完成单手开合的操作。。。细节可以。。。总之，别问，问就y7000p，20号没抢到的可惜了。。。物流当天到
53,1号零晨买的，1号上午就送到了，**真是神速。连好电源线开机，按照屏幕提示安装非常简单。下了各种软件，开机速度非常之快。整个电脑真的好轻，太喜欢了。
54,电脑用着不错，对得起这个价格，首先从价格上说3999绝对值得，处理器是i5的依然不落伍，好用，8 g的内存够用了，处理ps都没问题，速度也可以。外观看着金属质感，很适合自己，散热能力也可以，基本一边充电一边办公很不错。
55,用了两天，感觉还不错，外观及格，手感很好，玩游戏很流畅。风扇噪音会很大，加了个散热器感觉好很多，再加个硬盘，完美
56,特别好，外形美观，做工精细，还不重，目前还在慢慢研究中。但觉得这款颜值特高！五星好评！
57,包装保护：非常好，**一如既往的给力。画面品质：非常好，大品牌值得信赖。游戏效果：非常非常好，性能释放的很好。运行速度：暂时很好，有必要日后再升级内存。外形外观：完美的外观，非常喜欢。跑分评测：没装鲁大师，不过肯定不会低
58,拿到手很惊艳 机身轻薄 便携漂亮 比原来笨重的某革命好太多 配置上1050ti显卡加上八代i5能流畅运行大部门主流游戏 我心心念念的剑三充值版也能开高画质了高兴的跳起来 又能用很久啦 相信****品质 散热方面风扇声音略大 配了散热器很不错 爱不释手 快递也是快的一批
59,东西发货很快 十号晚上十二点下单 双十一当天下午就到了。赠品方面 啥都没有 鼠标也没送 。价格方面双十一零点5399 后来看到网上有人说中午变成了4999。感觉挺吃亏 价保申诉无效 多比别人熬个夜还搭上四百块。主要的机器方面 打开包装后很惊艳 非常简单的设计 就像一块钢板一样 这样的配置作为学生办公和看剧来说已经是足够用了 键盘很好没有松动的情况 键程也合适 这个键盘感觉比MacBookAir好多了 后者键盘还有松垮垮的感觉 机身侧面开孔确实不多  没有可以插网线的地方 需要另购转接器 开机后语音助手说话的时候就感觉到有破音 搞不懂电脑音响也需要煲的？？ 不过用几天后破音情况确实好多了 但是杜比音效感觉不是很适合我 尖锐刺耳 屏幕确实非常完美 没有漏光情况 屏占比高 色域饱满 。散热方面我轻度使用 很少超过四十度 跑分跑出了十八万分。** 为跑分而生？哈哈哈总的来说机器非常不错 做工良心 值得买
60,物流可以
61,外观低调大气，硬件强悍！真是太喜欢了，这一代散热有了很大提高，G模式一键超神。刚收到就迫不及待的试一试，期待后续给我的惊喜。嘿嘿，618价格太棒了
62,画面品质：超级棒 妥妥的高级货。外形外观：炫酷 机甲风 让人爱不释手啊。包装保护：包装过来很好 贴纸是一次性水印的 杜绝了二手机。运行速度：运行是真的超级快 杠杠的那种。总的来说 很喜欢 非常喜欢 特别是这个背纹灯 让人膜拜啊。超高性价比 爱了爱了???
63,总体感觉很不错，。首先外观方面。拿到手轻便，设计是我喜欢的简单干净，还有底部的设计让散热更容易，这些都深得我心。其次使用感受。运行速度很快，很够我用，特别喜欢的是带蓝牙，**的设计，可以用手环解锁，也是亮点。。最后的最后，电子电器类产品基本都是**购买，希望**越来越好，有些企业我们还是需要保护的，虽然我个人的力量有限，但是绵薄之力，希望可以集腋成裘积少成多！！！
64,我很喜欢哈哈哈感觉很好携带，开机也快，打开七八秒的样子，但是就是这个充电器还是原来那种?太笨了，还有耗电的确是比较快~总体还是挺喜欢对我来说够啦
65,给笔记本贴了膜，性价比很高，但是风扇声音有点大，单风扇散热一般，处理器和显卡也不错，**物流很快，第二天就到了，总体来说还是非常不错的。**也值得信赖。用了几天，办公够用，适合学生党和上班族，大型游戏体验一般。五星，好评。。。。期待**出更好的产品
66,九代I7，8G内存，128G+1T，独立显卡，硬件杆杆的，跑分33万，显示精细，模具做工不错，磨砂面不留指纹，大爱，红色LOGO点缀，有商务风格，不会太炫酷，SSD开机速度可以，运行速度也可以，主要做3D看图使用，机底散热面挺大的，15.6寸，挺沉的，哈哈，要性能不要轻薄，重就重吧，**618活动很给力呀，当天中午下的单，晚上就给我送来了，大赞，本本是相当满意的，好评。
67,超级好用，用起来很舒服。哇，颜值也很高，要被圈粉了。键盘的背景灯超级帅气。一点都不卡，带ps pr sw毫无压力，妥妥的。包装的也很好，电脑完好无损，很棒。分辨率也超级好。键盘用起来很舒服，功能也很多，屏幕大，喜欢欢！推荐大家购买哦~
68,屏幕清晰，色域72%很舒服啦，无漏光无坏点。（视频闪一下是我手机摄像头的问题）打字反馈触感不错，触控板全玻璃的手感就是不一样，整体机身做工很好，音响是哈曼的，加上杜比音效，还是很不错的，音质通透清晰，听歌看剧都没问题。运行速度很快，开关机都很棒。不联网的话，电池很耐用。联网的话，中等水平，可以满足一般办公学习需求了。充电器很笨重，但是**商城里有一款149的小巧的65w的充电器，准备搞活动时，入手一个。没有网线接口，需要买个外接。还好usb转rj45不算贵。**小新的新妹服务很细致，绝对好评。。总体来说，值得购买，做工用个3、4年没问题。平常用电脑爱惜点，一两年的流畅度我觉得问题也不大。。（忍不住吐槽一下，为啥我一买完电脑就送背包了，运气有些不好，错过了一个亿。?）
69,很好，非常喜欢，不过有一点就是出现两次看视频，打开播放时没声音，要重新打开一次才会正常，不知道为什么&gt;o&lt;，快递速度非常快！屏幕太舒服了！满意满意满意满意！
70,很多人说品控不好 但是我买的这一台真的不错 没啥问题 买之前还很担心 开机验货 很好  新机是必须要插电源才能开机的 验机记得验证！  屏幕确实是有点黄 暖屏 不过还好了 特别爱这个音响 听歌是真的不错 哈哈哈哈 以后外加一个固态够我用了
71,包装保护：非常的精密严实，满满的科技感，展现在眼前，一览无余，超棒的哦！非常喜欢！。外形外观：实物比图片好看不知几倍，炫酷的Y灯和键盘灯，简直成了我电子界的新宠，哈哈哈！。画面品质：屏幕IPS 超窄边框，视觉上的冲击感非常强，特别舒服哦！。跑分评测：个人觉得在目前主流机器中，还算性价比，不错哦！。运行速度：嗖嗖嗖的~像风一样快，哈哈哈，棒的一匹！。游戏效果：完美运行英雄联盟，其他游戏暂无测试！
72,小新质感还是挺好的，预售的，今天就收到了，小屏钟爱吧，很喜欢。服务也不错，刚上手 还没有什么体验感，等用过后再评吧，总体来说还是很棒的。
73,体验了几天，非常超值的一款游戏笔记本，携带方便，配置高，流畅好用。。键盘也舒服，唯一可惜就是没有背光键盘。。外心人控制中心，能出现在5000+的配置电脑上，真心实在。舒服。大G，一键启动，方便。就是最高性能的时候，风扇声音稍微大了点。。****，放心，速度快。。。
74,之前一直在纠结**Pro和**Matebook14，后来看了对面室友刚买的**Pro，我终于决定买**Pro了，果然没让人失望！性价比极高，高色域很舒服，自带的音响也是很舒服，配置中规中矩，很适合办公用，噪音很小，散热还行，这个价位真的是性价比非常高了，最关键的是，全金属机身，键盘的触感完美，总评分90分！
75,Y7000  开机很快   显示屏多角度观视都没有问题   很清晰   键盘也不错   背光可2次调节亮度   外观方面  A面到大丫标志很帅气   玩英雄联盟的还是很爽的    不错不错    满足我的日常要求了    希望用长点的时间以后也不卡
76,买了是送给外甥女的，收到货她很喜欢，说开机很快，颜色很喜欢，非常轻薄，待机时间也很久，屏幕很宽很清楚！让我觉得送的很合适！
77,宝贝非常不错！618买的，原价7000现价5800挺值得！i78代的CPU450的固态硬盘2G独显！这个配置这个价格！！！非常好！屏幕解析度也非常不错！win10正版！自带official正版！简直太划算了！！！就是唯一一点不好的是现在都不给电脑包和配件了！其实也没有什么成本！厂家太不大气了！！！
78,速度很快，真的很不错，回推荐朋友过来的，真的很喜欢，手感也很满意，不过这款没有背光灯(&gt;﹏&lt;)，小小的遗憾啊
79,一个字，赞！非常适合办公室使用，稳重大方低调，不是很重，移动性还是OK的。金属机身冰凉冰凉的。充电器很大个但是充电速度很快，屏幕完美，背部插口都有指示灯，很人性化了。键盘漂亮，系统自带有键盘灯特效软件，图中是与15寸xps的对比。
80,之前一直在纠结**和**，后来看了一下差价还是选了**，物流很快，性价比高，手感很好，颜值也好。很适合办公用，噪音很小。第一次开机激活等了好久，然后自己研究了一下，windows和office都激活成功了。机身不带网口，充电接口并没有用流行的type-C，没有摄像头，不带小键盘。但是不影响我对你的喜爱?，这个价位真的是性价比非常高了，最关键的是，全金属机身，键盘的触感完美。因活动产生的差价也退了。
81,做工和** 不相上下 颜值高 手感好 速度快 ，现在用下来什么都很好，俩点 可以提升的 2K。显示屏不够清晰 加点钱有选择3-4K。屏幕，我会选择更好屏幕。2 就一个C盘 没有分盘 会不会越用越慢 担心中。其他感觉不错 ，很喜欢，会推荐朋友。
82,这款电脑我关注的很久啦，刚收到就迫不及待的开箱，拿到手很是惊艳，非常漂亮，也很薄，外观大气，买来制图用，15寸屏幕，九代i7，GT1660TI-6G显卡，72色域，非常棒，很是喜欢，开机运行流畅，很不错，**配送速度很快，很满意。
83,拿到笔记本感受了一下，开机几秒就能打开，速度嗖嗖的。小新的外观真是小清新，是自己一直想要的。特别要强调的是音箱，超级给力。重量正合适，无论是从外观还是质量上，在这个价位来说，这是最好的选择。超级稀饭，给小新一个大大的赞
84,一直对这款电脑很有兴趣了，刚好赶上了这个首发。。很爽很不错，真香。2060的显卡足够跑一切了。满足日常工作，pr，ps，电脑不重，携带刚好。一个背包直接搞定。很不错，价格很优惠。机子颜值满分。建议各位剁手入。哈哈哈。还有切换显卡模式。完美。三种散热模式。满足我的游戏操作。散热声音也还好。很不错。点赞
85,外观很酷，大爱红黑配色，性价比很高，运行安静，键盘手感也不错，重量控制很好，总体很满意。
86,**的物流速度就不夸了，下午下的单，第二天早上就到了，说一下电脑本身吧，我属于电脑小白，不太懂怎么选电脑，所以选购侧重点放在轻薄上，对比了好几款电脑，在综合考虑价格和轻薄上，最终选择了小新。看了评论，褒贬不一，也做了很多功课，害怕遇上瑕疵，最终收到货还是非常满意的，电脑够轻薄，配置上也满足平时的需求。本人不打游戏，笔记本主要用来写东西，看电影之类的，很多评论反应的风扇声音问题，说实话刚开始充着电设置电脑时确实挺大的，在软件更新、系统设置、充满电全部完成之后，正常使用时、看游戏直播时风扇没有一点声音，在非充电看视频的状况下cpu温度35℃左右，开机速度目前稳定在5秒，待机时间的话能6、7小时吧，具体没有细算，很满意吧，别的也不知道说什么了?
87,颜值很高，材质很好，分量很重，接口较少不合理反人类，电源和数据接口设计反了，音箱效果还凑合，玩个小游戏键盘温温的，玩个穿越火线风扇呼呼的，散热凑合，独立显卡不知道能否低开守望先锋，娱乐大师18万加？价格上别人有4799买的好划算好羡慕！总之，我觉得是性价比很高
88,游戏效果：1660ti显卡很厉害打魔兽无压力 。画面品质：画面很清晰144屏幕感觉很流畅。外形外观：外形很好看。。。运行速度：运行速度很快1t ssd想放啥都可以
89,还可以，可以用来做作业，功能强大，性能很好。鲁大师跑分可以跑到36万。感觉还可以，不知以后会怎样
90,包装保护：完整。外形外观：颜值万岁。画面品质：不错。跑分评测：三十几万可以。运行速度：很快。游戏效果：最高画质
91,开机速度很快，画质也很好，用了这么多年电脑了，这款满足了我对电脑的需求，尤其是指纹解锁，很高大上，键盘丝滑有光泽，打字很舒服。
92,用了有三四天了，超级超级喜欢这个电脑了~颜值真的爆表，湖光蓝真的太太太太太好看了，13.3寸又小巧，带着去教室超级方便，电脑表面是磨砂手感，凉凉的摸起来很舒服（夏天是很舒服，冬天?不敢想）不过挺滑的，怕拿的时候掉的话建议贴个膜~然后就是系统了，win10系统，开机很顺畅，指纹也很灵敏，用起来一点都不卡顿，之前无线网一直断，不过问了客服后更新了网卡驱动，目前用起来正常，再用短时间看看~  office暂时还没激活，这个应该没啥问题，唯一值得吐槽的就是接口少，没有网线接口（这个还好，毕竟轻薄本） 。。总之真的值得买，性价比超高~
93,很不错，使用有十多天才来评价，首先外观，A面的logo很骚气，键盘用来舒服，显示器72%NTSC效果细腻，加上超窄边框，颜值高大上，运行CAD.极品20，高画质毫无压力，性价比不错，整体质量高，值得购买
94,运行速度：很快。屏幕效果：不错哦。散热性能：好，放在桌子上玩了两个多小时一点都不热。其他特色：音响效果还不错。。轻薄程度：很轻薄，达到了预期效果。外形外观：很干净简洁
95,外观材质：摸上去手感很好，很有质感，大方好看，比较高档。。显卡效果：线下主流的游戏开到全特效一点卡顿的问题都不存在。。电脑性能：各个软件运行速度流畅，Ps跟Ai无缝操作，本身自己就是做跟设计方面有关的工作，所以这个电脑的性能完全可以满足我的日常操作需求。。当初为什么要选择**这个牌子呢，我是冲着售后服务去的，一有问题就可以去线下的售后服务部解决，之前的买的电脑也是**，算是很有感情的成分在里面了，再加上这款确实性比较很高，比较了其他几个牌子，最终还是选择这个，也没让我觉得失望。
96,特别喜欢这个颜色   而且比较薄    上手很舒服   比较轻  键盘手感不错   屏幕也很清晰   支持单手开合    。物流很快    保护措施也很好  用了一个超大的箱子装了很多的那个防护用的什么皮囊(毕竟我不懂)。挺满意的
97,电脑性能：在i7-9750H的加持下软件都运行的很流畅 显卡效果：，吃鸡什么都都能愉快的运行 外观材质：这款的外观还是中规中矩配置很好，鲁大师跑分很高，虽然是高配游戏本但整体很轻薄，重量也轻，特别适合自己
98,到货很快，价格是3999买的，性价比已经是超级高了，英特尔酷睿i5的八代处理器性能特别好，声音小反应速度快，内存8G的也完全够我上班工作的日常需求，硬盘读取速度快是固态硬盘，512的也够用。笔记本价格便宜很轻薄，如果非要是不足的地方就是没有摄像头，键盘特别一般，屏幕也没有其他品牌的好，毕竟价格在那呢。总体给80分吧。操作系统差评。
99,收到有几天了，自己试了试，很不错，物有所值。**快递小哥更是给力，头一天晚上下的单，第二天午后就收到了。这款笔记本电脑我关注了很长时间，优惠到一定程度果断出手。配置，颜值，价格，我都很满意！好评必须的。
100,运行速度：很快。屏幕效果：显示很好。轻薄程度：轻薄。外形外观：好看
101,电脑很流畅，吃鸡是完全没问题的，跑分25万7，很好，i5九代处理器和1650显卡够用！。有三种模式平衡模式，野兽模式，安静模式，干什么都能用，还不卡！
102,满五星好评！先说游戏吃鸡，联盟，守望等大型游戏都没问题，其次是跑分22万多分，然后对于外观手感等体验都是一流的，****的制作与配件都是这个价位高端的了，所以游戏与办公两用的宝宝赶紧下手吧！
103,高中到大学，买一个笔记本电脑，**的，感觉手机挺好的，电脑没有试过，虽然激活时挺麻烦，到后来基本都没有什么，属于商务本，平时不玩网游，觉得已经很不错了，运行很流畅，i7的处理器，运行快，开机9秒，**电脑真心不错，页面简单，适合学生，携带也方便，不错，推荐大家购买！！！
104,到底是老公选的笔记本，贼好用，金属外壳，手感很好，高大上，女生用了很方便，很轻薄，出门带着不会重，屏幕分辨率，内存，使用感都很好，没有看过真机，直接**买了，物流速度很快，唯一有点失望的就是电源适配器还是老款的
105,音质好，轻薄，很好的哈哈?，使用过程需要慢慢掌握，速度快，可以再加个内存，客服小姐姐很好，把优惠券给补了，谢谢
