,id,text,pos
43,43,很少网购评价觉得差不多就行  这次实在忍无可忍掉电太快充满电不到两小时就没电了**这么做合适吗？,"[(23, 24, 'A', '硬件&性能'), (25, 26, 'O', '硬件&性能')]"
44,44,用了半个月不到经常无缘无故黑屏！,"[(13, 14, 'O', '硬件&性能')]"
45,45,开机速度非常快 电脑运作也很流畅  发货速度很快 物美价廉 非常好！,"[(0, 3, 'A', '硬件&性能'), (4, 6, 'O', '硬件&性能'), (10, 11, 'A', '硬件&性能'), (13, 15, 'O', '硬件&性能'), (18, 21, 'A', '物流'), (22, 23, 'O', '物流'), (25, 28, 'O', '价格'), (30, 32, 'O', '整体')]"
46,46,同价位能买到这样的笔记本很牛批了,[]
47,47,屏幕分辨率，色彩不行，3999刚买就掉3899,"[(0, 4, 'A', '硬件&性能'), (6, 7, 'A', '硬件&性能'), (8, 9, 'O', '硬件&性能')]"
48,48,电脑性能稳定，画质清晰，超薄易携带，使用起来也比较流畅。感觉很满意😉,"[(2, 3, 'A', '硬件&性能'), (4, 5, 'O', '硬件&性能'), (7, 8, 'A', '硬件&性能'), (9, 10, 'O', '硬件&性能'), (12, 13, 'O', '外观'), (14, 16, 'O', '外观'), (23, 26, 'O', '硬件&性能'), (30, 32, 'O', '整体')]"
49,49,频繁黑屏，找不到售后,"[(0, 3, 'O', '硬件&性能')]"
50,50,电脑性能挺好的，显卡效果挺快，外观材质也挺好，满意,"[(2, 3, 'A', '硬件&性能'), (4, 6, 'O', '硬件&性能'), (8, 11, 'A', '硬件&性能'), (12, 13, 'O', '硬件&性能'), (15, 18, 'A', '外观'), (20, 21, 'O', '外观'), (23, 24, 'O', '整体')]"
51,51,大大大大大大大的差评。客服态度特次，给史上最大差评。,"[(8, 9, 'O', '整体'), (11, 14, 'A', '服务'), (15, 16, 'O', '服务'), (23, 24, 'O', '整体')]"
52,52,拿到手挺好的 刚刚在设置密码的时候突然黑屏了，再然后怎么都不亮了，按键有灯就屏幕不亮 说是没电电源 一直插着 还是不行,"[(3, 5, 'O', '整体'), (19, 20, 'O', '硬件&性能'), (33, 34, 'A', '硬件&性能'), (35, 36, 'O', '硬件&性能'), (38, 39, 'A', '硬件&性能'), (40, 41, 'O', '硬件&性能'), (57, 58, 'O', '整体')]"
53,53,音响破音,"[(0, 1, 'A', '硬件&性能'), (2, 3, 'O', '硬件&性能')]"
54,54,电脑还可以，售后不行，发了好几遍才回我问题,"[(2, 4, 'O', '整体'), (6, 7, 'A', '服务'), (8, 9, 'O', '服务')]"
55,55,非常满意,"[(0, 3, 'O', '整体')]"
56,56,经常出现黑屏蓝屏啥的，太水了这电脑,"[(4, 5, 'O', '硬件&性能'), (6, 7, 'O', '硬件&性能')]"
57,57,电脑上网快，外观漂亮，音质不错，色彩逼真,"[(2, 3, 'A', '使用场景'), (4, 4, 'O', '使用场景'), (6, 7, 'A', '外观'), (8, 9, 'O', '外观'), (11, 12, 'A', '硬件&性能'), (13, 14, 'O', '硬件&性能'), (16, 17, 'A', '硬件&性能'), (18, 19, 'O', '硬件&性能')]"
58,58,帮朋友代购的。好用，不卡。速度很流畅。,"[(7, 8, 'O', '整体'), (10, 11, 'O', '硬件&性能'), (13, 14, 'A', '硬件&性能'), (15, 17, 'O', '硬件&性能')]"
59,59,期待了很长时间，昨天下单，今天就送到了，电脑感觉很nice，各方面都不错，客服服务也很好，有点不懂一直麻烦人家🙈🙈🙈,"[(24, 28, 'O', '整体'), (34, 35, 'O', '整体'), (37, 40, 'A', '服务'), (42, 43, 'O', '服务')]"
60,60,送货快，包装好，收到货满满的惊喜感&hellip;系统操作流畅，风扇静音，反应非常快，更多功能慢慢体验，非常满意的一次购物！,"[(0, 1, 'A', '物流'), (2, 2, 'O', '物流'), (4, 5, 'A', '包装'), (6, 6, 'O', '包装'), (25, 28, 'A', '软件&性能'), (29, 30, 'O', '软件&性能'), (32, 33, 'A', '硬件&性能'), (34, 35, 'O', '硬件&性能'), (37, 38, 'A', '硬件&性能'), (39, 41, 'O', '硬件&性能')]"
61,61,很显档次，内存大，运程很快,"[(0, 3, 'O', '外观'), (5, 6, 'A', '硬件&性能'), (7, 7, 'O', '硬件&性能'), (9, 10, 'A', '硬件&性能'), (11, 12, 'O', '硬件&性能')]"
62,62,性能不错，运行很快，满意,"[(0, 1, 'A', '硬件&性能'), (2, 3, 'O', '硬件&性能'), (5, 6, 'A', '硬件&性能'), (7, 8, 'O', '硬件&性能'), (10, 11, 'O', '整体')]"
63,63,质量很好，看上去就很养眼，用起来速度也很快，不错，真心喜欢！我还会介绍朋友买的！,"[(0, 1, 'A', '整体'), (2, 3, 'O', '整体'), (9, 11, 'O', '外观'), (16, 17, 'A', '硬件&性能'), (19, 20, 'O', '硬件&性能'), (22, 23, 'O', '整体'), (25, 28, 'O', '整体')]"
64,64,笔记本电脑收到，整齐配置还不错，小巧方便携带款式时尚潮流，上网打游戏不卡顿，整齐来讲很满意！,"[(10, 11, 'A', '硬件&性能'), (12, 14, 'O', '硬件&性能'), (16, 21, 'O', '外观'), (22, 23, 'A', '外观'), (24, 27, 'O', '外观'), (29, 30, 'A', '使用场景'), (31, 33, 'A', '使用场景'), (34, 36, 'O', '使用场景'), (42, 44, 'O', '整体')]"
65,65,特别好，反应很快，而且挺新的  很喜欢,"[(0, 2, 'O', '整体'), (4, 5, 'A', '硬件&性能'), (6, 7, 'O', '硬件&性能'), (11, 13, 'O', '外观'), (16, 18, 'O', '整体')]"
66,66,有点后悔,[]
67,67,买早了 血亏,[]
68,68,爱不释手了,[]
69,69,很不愉快购物体验，莫名奇妙的死机，送的电脑包竟然没拉链，再也不会买**的电脑了,"[(14, 15, 'O', '硬件&性能'), (24, 26, 'O', '包装')]"
70,70,笔记本收到了，超薄是自己喜欢的款。性能运行速度都不错，满意！,"[(7, 8, 'O', '外观'), (17, 22, 'A', '硬件&性能'), (24, 25, 'O', '硬件&性能'), (27, 28, 'O', '整体')]"
71,71,这怎么第二次开机就死机了？,"[(9, 10, 'O', '硬件&性能')]"
72,72,外观材质：高端大气上档次 宝贝和描述的一样好 客服也很热情！！好评 ,"[(0, 3, 'A', '外观'), (5, 11, 'O', '外观'), (23, 24, 'A', '服务'), (26, 28, 'O', '服务'), (31, 32, 'O', '整体')]"
73,73,还挺不错的,"[(1, 4, 'O', '整体')]"
74,74,笔记本用着还挺不错的，不卡反应挺快的，很喜欢这样薄的笔记本外观很好看！拿起来很轻便，很满意,"[(6, 9, 'O', '整体'), (11, 12, 'O', '硬件&性能'), (13, 14, 'A', '硬件&性能'), (15, 17, 'O', '硬件&性能'), (19, 21, 'O', '整体'), (29, 30, 'A', '外观'), (31, 33, 'O', '外观'), (38, 40, 'O', '外观'), (42, 44, 'O', '整体')]"
75,75,挺好的，应该没翻车,"[(0, 2, 'O', '整体')]"
76,76,买了好几次了，价位合适，用着也不错，物超所值，用来办公做资料挺好,"[(7, 8, 'A', '价格'), (9, 10, 'O', '价格'), (15, 16, 'O', '整体'), (18, 21, 'O', '价格'), (25, 26, 'A', '使用场景'), (27, 29, 'A', '使用场景'), (30, 31, 'O', '使用场景')]"
77,77,质量特别好，玩游戏一点不卡，界面非常清晰,"[(0, 1, 'A', '整体'), (2, 4, 'O', '整体'), (6, 8, 'A', '使用场景'), (9, 12, 'O', '使用场景'), (14, 15, 'A', '硬件&性能'), (16, 19, 'O', '硬件&性能')]"
78,78,显示卡效果很棒，很不错哦，性能外观，材质都非常好，值得购买。,"[(0, 4, 'A', '硬件&性能'), (5, 6, 'O', '硬件&性能'), (8, 10, 'O', '整体'), (15, 16, 'A', '外观'), (18, 19, 'A', '外观'), (21, 23, 'O', '外观')]"
79,79,相差4天买了2台价格相**佰多元，因有价保服务找**，但**不认差评,"[(32, 33, 'O', '整体')]"
80,80,刚到货 手感还行  屏幕清晰度不错 就是还没用就开始有发热的现象 还好 评价 晒图 给送散热器和电脑包,"[(4, 5, 'A', '外观'), (6, 7, 'O', '外观'), (10, 14, 'A', '硬件&性能'), (15, 16, 'O', '硬件&性能'), (33, 34, 'O', '整体')]"
81,81,电脑运行速度出其意料的好，性价比很高，不亏。,"[(2, 5, 'A', '硬件&性能'), (6, 11, 'O', '硬件&性能'), (13, 15, 'A', '价格'), (16, 17, 'O', '价格'), (19, 20, 'O', '价格')]"
82,82,电脑不错，很漂亮，物流也很快,"[(2, 3, 'O', '整体'), (5, 7, 'O', '外观'), (9, 10, 'A', '物流'), (12, 13, 'O', '物流')]"
83,83,电脑收到了，质量很好，画面清晰，运行流畅，外观小巧精致，携带方面，非常满意。,"[(6, 7, 'A', '整体'), (8, 9, 'O', '整体'), (11, 12, 'A', '硬件&性能'), (13, 14, 'O', '硬件&性能'), (16, 17, 'A', '硬件&性能'), (18, 19, 'O', '硬件&性能'), (21, 22, 'A', '外观'), (23, 26, 'O', '外观'), (28, 29, 'A', '外观'), (33, 36, 'O', '整体')]"
84,84,给儿子买的，说实话这么贵的电脑网上买，心里不踏实。不过儿子说质量没问题，用过一段时间再来追评！,"[(30, 31, 'A', '整体'), (32, 34, 'O', '整体')]"
85,85,机器目前用着还好，开机速度挺快,"[(6, 7, 'O', '整体'), (9, 12, 'A', '硬件&性能'), (13, 14, 'O', '硬件&性能')]"
86,86,#，打游戏卡的一匹，客服根本解决不了问题,"[(2, 4, 'A', '使用场景'), (5, 8, 'O', '使用场景'), (10, 11, 'A', '服务')]"
87,87,价格是真坑，刚买完就降价320，还不给保价,"[(0, 1, 'A', '价格'), (3, 4, 'O', '价格'), (10, 11, 'O', '价格'), (17, 20, 'O', '价格')]"
88,88,物流很快那边发货隔天就能到  今天收到了感觉总体满意，用过一段时间来追评,"[(0, 1, 'A', '物流'), (2, 3, 'O', '物流'), (6, 7, 'A', '物流'), (22, 23, 'A', '整体'), (24, 25, 'O', '整体')]"
89,89,不想说什么  只想给差评,"[(10, 11, 'O', '整体')]"
90,90,反应梃快的，内存也大不卡，满意。:,"[(0, 1, 'A', '硬件&性能'), (6, 7, 'A', '硬件&性能'), (9, 11, 'O', '硬件&性能'), (13, 14, 'O', '整体')]"
91,91,除了经常突然死机要修复问题和经常不识别指纹的问题之外，其他都挺满意,"[(30, 32, 'O', '整体')]"
92,92,很快就卡了，电池不耐用,"[(6, 7, 'A', '硬件&性能'), (8, 10, 'O', '硬件&性能')]"
93,93,宝贝收到了，总体来总还是很好使用的，价格也不贵。,"[(12, 15, 'O', '整体'), (18, 19, 'A', '价格'), (21, 22, 'O', '价格')]"
94,94,宝贝很好，我很喜欢，很适合我们使用，嘿嘿,"[(2, 3, 'O', '整体'), (6, 8, 'O', '整体')]"
95,95,不错，不错，正品，用了有些天，整体用的都很顺，感应很灵活，小巧方便出差使用，给力,"[(0, 1, 'O', '整体'), (3, 4, 'O', '整体'), (6, 7, 'O', '真伪'), (20, 21, 'O', '硬件&性能'), (23, 24, 'A', '硬件&性能'), (25, 27, 'O', '硬件&性能'), (29, 30, 'O', '外观'), (38, 39, 'O', '整体')]"
96,96,挺好的 试用了一晚上  画质很清晰 运行很流畅特别满意,"[(0, 2, 'O', '整体'), (12, 13, 'A', '硬件&性能'), (14, 16, 'O', '硬件&性能'), (18, 19, 'A', '硬件&性能'), (20, 22, 'O', '硬件&性能'), (23, 26, 'O', '整体')]"
97,97,物流很快，性价比高，运行流畅。,"[(0, 1, 'A', '物流'), (2, 3, 'O', '物流'), (5, 7, 'A', '价格'), (8, 8, 'O', '价格'), (10, 11, 'A', '硬件&性能'), (12, 13, 'O', '硬件&性能')]"
98,98,垃圾，什么都不送,"[(0, 1, 'O', '整体'), (3, 7, 'O', '价格')]"
99,99,质量挺好的，试用效果也不错，价格实惠，非常满意,"[(0, 1, 'A', '整体'), (2, 4, 'O', '整体'), (11, 12, 'O', '整体'), (14, 15, 'A', '价格'), (16, 17, 'O', '价格'), (19, 22, 'O', '整体')]"
100,100,看视频风扇声音大的一批，感觉到了夏天会爆炸,"[(0, 2, 'A', '使用场景'), (3, 6, 'A', '硬件&性能'), (7, 10, 'O', '硬件&性能')]"
101,101,屏幕很清晰，使用便捷方便，键盘也好用，非常满意,"[(0, 1, 'A', '硬件&性能'), (2, 4, 'O', '硬件&性能'), (8, 11, 'O', '使用场景'), (13, 14, 'A', '硬件&性能'), (16, 17, 'O', '硬件&性能'), (19, 22, 'O', '整体')]"
102,102,质量很好，散热很快，成色很新，用着很舒畅，不错👍👍👍 物流超快,"[(0, 1, 'A', '整体'), (2, 3, 'O', '整体'), (5, 6, 'A', '硬件&性能'), (7, 8, 'O', '硬件&性能'), (10, 11, 'A', '外观'), (12, 13, 'O', '外观'), (17, 19, 'O', '硬件&性能'), (21, 22, 'O', '整体'), (27, 28, 'A', '物流'), (29, 30, 'O', '物流')]"
103,103,就是有点卡,"[(2, 4, 'O', '硬件&性能')]"
104,104,性能很好,"[(0, 1, 'A', '硬件&性能'), (2, 3, 'O', '硬件&性能')]"
105,105,总得来说一般般，啥东西也没送，配件还是我自己买的，商家越来越黑了。,"[(4, 6, 'O', '整体')]"
106,106,外观很好看，性价比超高。买给弟弟的，他说很好。推荐。。。。,"[(0, 1, 'A', '外观'), (2, 4, 'O', '外观'), (6, 8, 'A', '价格'), (9, 10, 'O', '价格'), (20, 21, 'O', '整体')]"
107,107,花屏，黑屏，闪屏。无语,"[(0, 1, 'O', '硬件&性能'), (3, 4, 'O', '硬件&性能'), (6, 7, 'O', '硬件&性能')]"
108,108,差的#，买了就降价，也不给退货,"[(4, 8, 'O', '价格')]"
109,109,电脑收到了，用了一下，屏幕很清晰，看电视看电影一点都不卡，价格也不贵，好评！！！,"[(11, 12, 'A', '硬件&性能'), (13, 15, 'O', '硬件&性能'), (17, 19, 'A', '使用场景'), (20, 22, 'A', '使用场景'), (23, 27, 'O', '使用场景'), (29, 30, 'A', '价格'), (32, 33, 'O', '价格'), (35, 36, 'O', '整体')]"
110,110,看个视频都卡，真#的烦死人了,"[(0, 3, 'A', '使用场景'), (5, 5, 'O', '使用场景')]"
111,111,电脑性能好，显卡效果清晰，网速流畅,"[(2, 3, 'A', '硬件&性能'), (4, 4, 'O', '硬件&性能'), (6, 9, 'A', '硬件&性能'), (10, 11, 'O', '硬件&性能'), (13, 14, 'A', '硬件&性能'), (15, 16, 'O', '硬件&性能')]"
112,112,刚回来还挺满意。但一用的话，就只打开个Office就发热的厉害，轻微烫手了都，好都没我手机降温好,"[(4, 6, 'O', '整体'), (32, 35, 'O', '硬件&性能')]"
113,113,用了一个月之后卡的要死，妈的，早知道不买这个牌子了！,"[(7, 10, 'O', '硬件&性能')]"
114,114,很满意，就是我想要，放心购买,"[(0, 2, 'O', '整体')]"
115,115,笔记本电脑很薄很实用，运行非常快，画面高清。,"[(5, 6, 'O', '外观'), (7, 9, 'O', '外观'), (11, 12, 'A', '硬件&性能'), (13, 15, 'O', '硬件&性能'), (17, 18, 'A', '硬件&性能'), (19, 20, 'O', '硬件&性能')]"
116,116,买完就降价了，好难过，差*块钱，简直了，之前客服还说不能有活动，真心不开心,"[(0, 4, 'O', '价格')]"
117,117,电脑性能不错,"[(2, 3, 'A', '硬件&性能'), (4, 5, 'O', '硬件&性能')]"
118,118,东西一般吧,"[(2, 3, 'O', '整体')]"
119,119,电脑不错，玩游戏流畅，显示屏清晰，性价比高！,"[(2, 3, 'O', '整体'), (5, 7, 'A', '使用场景'), (8, 9, 'O', '使用场景'), (11, 13, 'A', '硬件&性能'), (14, 15, 'O', '硬件&性能'), (17, 19, 'A', '价格'), (20, 20, 'O', '价格')]"
120,120,宝贝已经收到了，还行感觉挺好的下次需要还会再来光顾好评,"[(8, 9, 'O', '整体'), (12, 14, 'O', '整体'), (25, 26, 'O', '整体')]"
121,121,朋友推荐的，性能很强，高清大屏幕，外观时尚轻便，质量很好，很满意。,"[(6, 7, 'A', '硬件&性能'), (8, 9, 'O', '硬件&性能'), (11, 15, 'O', '硬件&性能'), (17, 18, 'A', '外观'), (19, 22, 'O', '外观'), (24, 25, 'A', '整体'), (26, 27, 'O', '整体'), (29, 31, 'O', '整体')]"
122,122,暂时还不错，但是office装的时候有点问题，最后去了售后才弄好，然后过了10天，居然降价了*块，还送包，太过分了，**的电脑价格维护才7天，太短了吧！！,"[(2, 4, 'O', '整体'), (43, 44, 'O', '价格')]"
123,123,与实际符合，非常适合。,"[(6, 9, 'O', '整体')]"
124,124,电脑还可以的，这个价格很实惠。,"[(2, 4, 'O', '整体'), (9, 10, 'A', '价格'), (11, 13, 'O', '价格')]"
125,125,客服不错 👌,"[(0, 1, 'A', '服务'), (2, 3, 'O', '服务')]"
126,126,不错的电脑笔记本，用起来性价比高，方便携带，走哪里带哪里.,"[(0, 1, 'O', '整体'), (12, 14, 'A', '价格'), (15, 15, 'O', '价格'), (17, 20, 'O', '外观')]"
127,127,宝贝质量很好，物流也很快，是正品，值得购买,"[(2, 3, 'A', '整体'), (4, 5, 'O', '整体'), (7, 8, 'A', '物流'), (10, 11, 'O', '物流'), (13, 15, 'O', '真伪')]"
128,128,没想象当中好，屏幕根本不是1080p的，电脑外观塑料感太强，塑料还很软,"[(0, 5, 'O', '整体'), (7, 8, 'A', '硬件&性能'), (22, 23, 'A', '外观'), (27, 28, 'O', '外观'), (30, 31, 'A', '外观'), (33, 34, 'O', '外观')]"
129,129,宝贝收到了，很满意物美价廉，,"[(6, 8, 'O', '整体'), (9, 12, 'O', '价格')]"
